season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,match_id,round,round_no,round_date,time,home_team,away_team,organizer,venue,team_result,team_points,wo,livescore
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443869,1 31-08-2023,1,31-08-2023,to 31‑08‑2023 18:30,Gentofte,RSL ODENSE OBK,,GBK Hallen 1-4,4-5,5-7,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443870,1 31-08-2023,1,31-08-2023,to 31‑08‑2023 18:30,Højbjerg/Via Biler,Hvidovre,,NES Arena 4-7,7-2,10-2,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443871,1 31-08-2023,1,31-08-2023,to 31‑08‑2023 18:30,Skovshoved,Team Skælskør-Slagelse,,Krøyersvej,6-3,9-3,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443872,1 31-08-2023,1,31-08-2023,to 31‑08‑2023 18:00,Vendsyssel,Aarhus AB,,Arena Nord,8-1,11-1,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443873,1 31-08-2023,1,31-08-2023,to 31‑08‑2023 19:00,Værløse,Solrød Strand,,Værløsehallerne 2-5,5-4,7-5,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443874,2 19-09-2023,2,19-09-2023,ti 19‑09‑2023 18:30,Gentofte,Skovshoved,,GBK Hallen 1-4,4-5,5-7,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443875,2 19-09-2023,2,19-09-2023,ti 19‑09‑2023 18:30,Hvidovre,Solrød Strand,,HBC-Hallen 2-5,6-3,9-3,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443876,2 19-09-2023,2,19-09-2023,ti 19‑09‑2023 18:30,Højbjerg/Via Biler,RSL ODENSE OBK,,NES Arena 4-7,6-3,9-3,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443877,2 19-09-2023,2,19-09-2023,ti 19‑09‑2023 18:30,Team Skælskør-Slagelse,Aarhus AB,,Skælskør Badminton Center,8-1,11-1,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443878,2 19-09-2023,2,19-09-2023,ti 19‑09‑2023 19:00,Vendsyssel,Værløse,,Arena Nord,7-2,10-2,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443879,3 22-09-2023,3,22-09-2023,fr 22‑09‑2023 18:30,Skovshoved,Hvidovre,,Krøyersvej,7-2,10-2,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443880,3 22-09-2023,3,22-09-2023,fr 22‑09‑2023 19:00,Solrød Strand,Gentofte,,Solrød Idrætscenter,7-2,10-2,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443881,3 22-09-2023,3,22-09-2023,fr 22‑09‑2023 18:30,RSL ODENSE OBK,Vendsyssel,,OBK-­hallen,5-4,7-5,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443882,3 22-09-2023,3,22-09-2023,fr 22‑09‑2023 18:30,Aarhus AB,Højbjerg/Via Biler,,Aarhus Badmintonhal,3-6,3-9,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443883,3 22-09-2023,3,22-09-2023,to 21‑09‑2023 19:00,Værløse,Team Skælskør-Slagelse,,Værløsehallerne 2-5,3-6,3-9,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443884,4 26-09-2023,4,26-09-2023,ti 26‑09‑2023 18:30,Gentofte,Team Skælskør-Slagelse,,GBK Hallen 1-4,5-4,7-5,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443885,4 26-09-2023,4,26-09-2023,ti 26‑09‑2023 18:30,Hvidovre,Aarhus AB,,HBC-Hallen 2-5,9-0,12-0,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443886,4 26-09-2023,4,26-09-2023,ti 26‑09‑2023 18:30,RSL ODENSE OBK,Værløse,,OBK-­hallen,7-2,10-2,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443887,4 26-09-2023,4,26-09-2023,ti 26‑09‑2023 19:00,Solrød Strand,Skovshoved,,Solrød Idrætscenter,4-5,5-7,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443888,4 26-09-2023,4,26-09-2023,ti 26‑09‑2023 19:00,Vendsyssel,Højbjerg/Via Biler,,Arena Nord,6-3,9-3,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443889,5 03-10-2023,5,03-10-2023,ti 03‑10‑2023 18:30,Team Skælskør-Slagelse,Vendsyssel,,Skælskør Badminton Center,5-4,7-5,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443890,5 03-10-2023,5,03-10-2023,ti 19‑12‑2023 18:30,Aarhus AB,Solrød Strand,,Aarhus Badmintonhal,2-7,2-10,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443891,5 03-10-2023,5,03-10-2023,ti 03‑10‑2023 19:00,Værløse,Hvidovre,,Værløsehallerne,5-4,7-5,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443892,5 03-10-2023,5,03-10-2023,ti 03‑10‑2023 18:30,Skovshoved,RSL ODENSE OBK,,Krøyersvej,7-2,10-2,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443893,5 03-10-2023,5,03-10-2023,ti 03‑10‑2023 18:30,Højbjerg/Via Biler,Gentofte,,NES Arena 4-7,8-1,11-1,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443894,6 07-11-2023,6,07-11-2023,ti 07‑11‑2023 18:30,Skovshoved,Vendsyssel,,Krøyersvej,6-3,9-3,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443895,6 07-11-2023,6,07-11-2023,ti 07‑11‑2023 18:30,RSL ODENSE OBK,Solrød Strand,,OBK-­hallen,5-4,7-5,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443896,6 07-11-2023,6,07-11-2023,ti 07‑11‑2023 18:30,Gentofte,Aarhus AB,,GBK Hallen 1-4,3-6,3-9,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443897,6 07-11-2023,6,07-11-2023,ti 07‑11‑2023 18:30,Hvidovre,Team Skælskør-Slagelse,,HBC-Hallen 2-5,5-4,7-5,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443898,6 07-11-2023,6,07-11-2023,ti 07‑11‑2023 18:30,Højbjerg/Via Biler,Værløse,,NES Arena 4-7,9-0,12-0,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443899,7 09-11-2023,7,09-11-2023,to 09‑11‑2023 19:00,Vendsyssel,Hvidovre,,Skagen Tennis- og badmintonhaller,8-1,11-1,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443900,7 09-11-2023,7,09-11-2023,to 09‑11‑2023 19:00,Solrød Strand,Højbjerg/Via Biler,,Solrød Idrætscenter,1-8,1-11,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443901,7 09-11-2023,7,09-11-2023,to 09‑11‑2023 18:30,Aarhus AB,Skovshoved,,Aarhus Badmintonhal,1-8,1-11,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443902,7 09-11-2023,7,09-11-2023,to 09‑11‑2023 18:30,Team Skælskør-Slagelse,RSL ODENSE OBK,,Skælskør Badminton Center,6-3,9-3,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443903,7 09-11-2023,7,09-11-2023,to 09‑11‑2023 19:00,Værløse,Gentofte,,Værløsehallerne,7-2,10-2,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443904,8 20-02-2024,8,20-02-2024,ti 20‑02‑2024 18:30,Aarhus AB,RSL ODENSE OBK,,Aarhus Badmintonhal,3-6,3-9,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443905,8 20-02-2024,8,20-02-2024,ti 20‑02‑2024 18:30,Hvidovre,Gentofte,,HBC-Hallen 2-5,3-6,3-9,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443906,8 20-02-2024,8,20-02-2024,ti 20‑02‑2024 18:30,Vendsyssel,Solrød Strand,,Arena Nord,6-3,9-3,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443907,8 20-02-2024,8,20-02-2024,ti 20‑02‑2024 18:30,Team Skælskør-Slagelse,Højbjerg/Via Biler,,Skælskør Badminton Center,3-6,3-9,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443908,8 20-02-2024,8,20-02-2024,ti 20‑02‑2024 18:30,Skovshoved,Værløse,,Krøyersvej,8-1,11-1,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443909,9 23-02-2024,9,23-02-2024,fr 23‑02‑2024 18:30,RSL ODENSE OBK,Hvidovre,,OBK-­hallen,4-5,5-7,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443910,9 23-02-2024,9,23-02-2024,fr 23‑02‑2024 18:30,Gentofte,Vendsyssel,,GBK Hallen 1-4,4-5,5-7,,
2023,1,1,-3,15789,Badmintonligaen,Grundspil,443911,9 23-02-2024,9,23-02-2024,fr 23‑02‑2024 19:00,Solrød Strand,Team Skælskør-Slagelse,,Solrød Idrætscenter,3-6,3-9,,
