season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,match_id,round,round_no,round_date,time,home_team,away_team,organizer,venue,team_result,team_points,wo,livescore
2024,1,1,-3,16859,Badmintonligaen,Bronzekamp,483664,12 07-05-2025,12,07-05-2025,on 07‑05‑2025 18:30,Solrød Strand,RSL ODENSE OBK,,Solrød Idrætscenter,3-6,3-9,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463821,1 03-09-2024,1,03-09-2024,ti 03‑09‑2024 18:30,Skovshoved,Gentofte,,Krøyersvej,7-2,10-2,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463822,1 03-09-2024,1,03-09-2024,ti 03‑09‑2024 19:00,Solrød Strand,Hvidovre,,Solrød Idrætscenter,4-5,5-7,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463823,1 03-09-2024,1,03-09-2024,ti 03‑09‑2024 18:30,RSL ODENSE OBK,Højbjerg/Via Biler,,OBK-­hallen,3-6,3-9,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463824,1 03-09-2024,1,03-09-2024,ti 03‑09‑2024 18:30,Aalborg Triton,Team Skælskør-Slagelse,,Vester Mariendal Skole,0-9,0-12,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463825,1 03-09-2024,1,03-09-2024,ti 03‑09‑2024 18:30,Værløse,Vendsyssel,,Værløsehallerne,2-7,2-10,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463826,2 05-09-2024,2,05-09-2024,to 05‑09‑2024 18:30,Hvidovre,Skovshoved,,HBC-Hallen,4-5,5-7,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463827,2 05-09-2024,2,05-09-2024,to 05‑09‑2024 18:30,Gentofte,Solrød Strand,,GBK Hallen 1-4,3-6,3-9,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463828,2 05-09-2024,2,05-09-2024,to 05‑09‑2024 19:00,Vendsyssel,RSL ODENSE OBK,,Arena Nord,7-2,10-2,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463829,2 05-09-2024,2,05-09-2024,to 05‑09‑2024 18:30,Højbjerg/Via Biler,Aalborg Triton,,NES Arena 4-7,9-0,12-0,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463830,2 05-09-2024,2,05-09-2024,to 05‑09‑2024 18:30,Team Skælskør-Slagelse,Værløse,,Skælskør Badminton Center,7-2,10-2,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463831,3 24-09-2024,3,24-09-2024,ti 24‑09‑2024 18:30,RSL ODENSE OBK,Gentofte,,OBK-­hallen,8-1,11-1,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463832,3 24-09-2024,3,24-09-2024,ti 24‑09‑2024 18:30,Hvidovre,Højbjerg/Via Biler,,HBC-Hallen,4-5,5-7,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463833,3 24-09-2024,3,24-09-2024,ti 24‑09‑2024 18:30,Team Skælskør-Slagelse,Skovshoved,,Skælskør Badminton Center,2-7,2-10,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463834,3 24-09-2024,3,24-09-2024,ti 24‑09‑2024 18:30,Aalborg Triton,Vendsyssel,,Vester Mariendal Skole,0-9,0-12,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463835,3 24-09-2024,3,24-09-2024,ti 24‑09‑2024 18:30,Solrød Strand,Værløse,,Solrød Idrætscenter,6-3,9-3,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463836,4 05-11-2024,4,05-11-2024,ti 05‑11‑2024 18:30,Team Skælskør-Slagelse,Gentofte,,Skælskør Badminton Center,3-6,3-9,,
2024,1,1,-3,16857,Badmintonligaen,Grundspil,463837,4 05-11-2024,4,05-11-2024,ti 05‑11‑2024 18:30,Aalborg Triton,Hvidovre,,Vester Mariendal Skole,0-9,0-12,,
