season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,match_id,round,round_no,round_date,time,home_team,away_team,organizer,venue,team_result,team_points,wo,livescore
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,0,20-04-2022,on 20‑04‑2022 18:00,Vendsyssel,Værløse,,Brøndby Hallen 3-5,5-1,5-1,,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423422,0 20-04-2022,0,20-04-2022,on 20‑04‑2022 18:00,Skovshoved,Højbjerg/Via Biler,,Brøndby Hallen 1-3,2-5,2-5,,
2021,1,1,-3,13946,Badmintonligaen,Final 4,424784,0 21-04-2022,0,21-04-2022,to 21‑04‑2022 18:00,Vendsyssel,Højbjerg/Via Biler,,Brøndby Hallen 1-2,5-2,5-2,,
2021,1,1,-3,13946,Badmintonligaen,Final 4,424785,0 21-04-2022,0,21-04-2022,to 21‑04‑2022 18:00,Skovshoved,Værløse,,Brøndby Hallen 3-5,5-4,7-5,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407030,1 24-08-2021,1,24-08-2021,ti 24‑08‑2021 18:30,Aarhus AB,RSL ODENSE OBK,,Aarhus Badmintonhal,2-7,2-10,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407031,1 24-08-2021,1,24-08-2021,ti 24‑08‑2021 18:00,Højbjerg/Via Biler,Skovshoved,,NES Arena,4-5,5-7,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407032,1 24-08-2021,1,24-08-2021,ti 24‑08‑2021 19:00,Greve,Solrød Strand,,Greve Idræts Center hal 1,0-9,0-12,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407033,1 24-08-2021,1,24-08-2021,ti 24‑08‑2021 18:30,Gentofte,Team Skælskør-Slagelse,,GBK Hallen 1-4,5-4,7-5,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407034,1 24-08-2021,1,24-08-2021,ti 24‑08‑2021 19:00,Vendsyssel,Værløse,,Arena Nord,7-2,10-2,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407035,2 26-08-2021,2,26-08-2021,to 26‑08‑2021 19:00,Værløse,Gentofte,,Værløsehallerne 2-6,6-3,9-3,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407036,2 26-08-2021,2,26-08-2021,to 26‑08‑2021 18:30,RSL ODENSE OBK,Greve,,OBK-­hallen,8-1,11-1,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407037,2 26-08-2021,2,26-08-2021,to 26‑08‑2021 19:00,Solrød Strand,Højbjerg/Via Biler,,Solrød Idrætscenter Hal A,3-6,3-9,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407038,2 26-08-2021,2,26-08-2021,to 26‑08‑2021 18:30,Skovshoved,Vendsyssel,,Krøyersvej,5-4,7-5,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407039,2 26-08-2021,2,26-08-2021,to 26‑08‑2021 18:30,Team Skælskør-Slagelse,Aarhus AB,,Skælskør Badminton Center,7-2,10-2,,
2021,1,1,-3,13945,Badmintonligaen,Grundspil,407040,3 02-09-2021,3,02-09-2021,to 02‑09‑2021 18:30,Aarhus AB,Skovshoved,,Aarhus Badmintonhal,3-6,3-9,,
