season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,match_id,round,discipline,discipline_no,discipline_code,home_team,away_team,home_players,away_players,home_player_ids,away_player_ids,set_scores,winner_side,winner_team,wo
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,1. MD,1,MD,Højbjerg/Via Biler,Team Skælskør-Slagelse,"Kim Astrup Sørensen, Selena Piek (EU)","Frederik Søgaard, Amalie Magelund Krogh","47081, 250890","80745, 869","21-15, 21-16",home,Højbjerg/Via Biler,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,2. MD,2,MD,Højbjerg/Via Biler,Team Skælskør-Slagelse,"Mads Vestergaard, Rikke Søby Hansen","Ruben Jille (EU), Alyssa Tirtosentono (EU)","3019, 66239","75165, 253649","19-21, 15-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,1. DS,1,DS,Højbjerg/Via Biler,Team Skælskør-Slagelse,Line Kjærsfeldt,Yvonne Li (EU),61094,84382,"20-22, 24-22, 18-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,2. DS,2,DS,Højbjerg/Via Biler,Team Skælskør-Slagelse,Amalie Schulz Terp-Nielsen,Rachael Darragh (EU),2532,335402,"21-17, 21-17",home,Højbjerg/Via Biler,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,1. HS,1,HS,Højbjerg/Via Biler,Team Skælskør-Slagelse,Mads Juel Møller,Mark Caljouw (EU),3255,66142,"21-23, 15-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,2. HS,2,HS,Højbjerg/Via Biler,Team Skælskør-Slagelse,Karan Rajan Rajarajan,Kalle Koljonen (EU),272325,60083,"18-21, 18-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,1. DD,1,DD,Højbjerg/Via Biler,Team Skælskør-Slagelse,"Selena Piek (EU), Amalie Schulz Terp-Nielsen","Amalie Magelund Krogh, Alyssa Tirtosentono (EU)","250890, 2532","869, 253649","25-27, 18-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,1. HD,1,HD,Højbjerg/Via Biler,Team Skælskør-Slagelse,"Anders Skaarup Rasmussen, Kim Astrup Sørensen","Frederik Søgaard, Ruben Jille (EU)","29269, 47081","80745, 75165",,,,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442752,13 22-04-2023,2. HD,2,HD,Højbjerg/Via Biler,Team Skælskør-Slagelse,"Karan Rajan Rajarajan, Mads Vestergaard","Ties Van Der Lecq (EU), Mark Caljouw (EU)","272325, 3019","253642, 66142",,,,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,1. MD,1,MD,Vendsyssel,Skovshoved,"Robin Tabeling (EU), Debora Jille (EU)","Lasse Mølhede, Sara Lundgaard","61161, 305462","58031, 80319","23-21, 21-14",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,2. MD,2,MD,Vendsyssel,Skovshoved,"Cheryl Seinen (EU), Mathias Christiansen","Daniel Lundgaard, Mette Poulsen","69668, 59946","1311, 55556","21-10, 26-24",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,1. DS,1,DS,Vendsyssel,Skovshoved,Kirsty Alison Gilmour (udl.),Line Christophersen,57455,154,"21-19, 11-21, 21-18",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,2. DS,2,DS,Vendsyssel,Skovshoved,Beiwen Zhang (udl.),Kristin Kuuba (EU),255348,327929,"21-19, 21-17",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,1. HS,1,HS,Vendsyssel,Skovshoved,Victor Svendsen,Rasmus Gemke,69610,77864,"12-21, 14-21",away,Skovshoved,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,2. HS,2,HS,Vendsyssel,Skovshoved,Magnus Johannesen,Mads Christophersen,2972,81169,"21-18, 21-15",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,1. DD,1,DD,Vendsyssel,Skovshoved,"Cheryl Seinen (EU), Debora Jille (EU)","Mette Poulsen, Sara Lundgaard","69668, 305462","55556, 80319",,,,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,1. HD,1,HD,Vendsyssel,Skovshoved,"Robin Tabeling (EU), Victor Svendsen","Carsten Mogensen, Lasse Mølhede","61161, 69610","13905, 58031",,,,
2022,1,1,-3,14806,Badmintonligaen,Final 4,442753,13 22-04-2023,2. HD,2,HD,Vendsyssel,Skovshoved,"Zvonimir Durkinjak (EU), Mathias Christiansen","Mads Christophersen, Daniel Lundgaard","23630, 59946","81169, 1311",,,,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,1. MD,1,MD,Vendsyssel,Team Skælskør-Slagelse,"Robin Tabeling (EU), Debora Jille (EU)","Ruben Jille (EU), Amalie Magelund Krogh","61161, 305462","75165, 869","15-21, 16-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,2. MD,2,MD,Vendsyssel,Team Skælskør-Slagelse,"Cheryl Seinen (EU), Mathias Christiansen","Ties Van Der Lecq (EU), Alyssa Tirtosentono (EU)","69668, 59946","253642, 253649","21-12, 21-10",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,1. DS,1,DS,Vendsyssel,Team Skælskør-Slagelse,Beiwen Zhang (udl.),Yvonne Li (EU),255348,84382,"21-12, 21-11",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,2. DS,2,DS,Vendsyssel,Team Skælskør-Slagelse,Kirsty Alison Gilmour (udl.),Rachael Darragh (EU),57455,335402,"21-18, 21-7",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,1. HS,1,HS,Vendsyssel,Team Skælskør-Slagelse,Victor Svendsen,Mark Caljouw (EU),69610,66142,"21-16, 14-21, 13-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,2. HS,2,HS,Vendsyssel,Team Skælskør-Slagelse,Magnus Johannesen,Kalle Koljonen (EU),2972,60083,"11-21, 21-14, 12-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,1. DD,1,DD,Vendsyssel,Team Skælskør-Slagelse,"Cheryl Seinen (EU), Debora Jille (EU)","Alyssa Tirtosentono (EU), Amalie Magelund Krogh","69668, 305462","253649, 869","18-21, 19-21",away,Team Skælskør-Slagelse,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,1. HD,1,HD,Vendsyssel,Team Skælskør-Slagelse,"Victor Svendsen, Robin Tabeling (EU)","Ruben Jille (EU), Ties Van Der Lecq (EU)","69610, 61161","75165, 253642","21-13, 21-17",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443914,12 22-04-2023,2. HD,2,HD,Vendsyssel,Team Skælskør-Slagelse,"Zvonimir Durkinjak (EU), Mathias Christiansen","Felix Burestedt (EU), Mark Caljouw (EU)","23630, 59946","66689, 66142","21-16, 21-17",home,Vendsyssel,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443915,12 22-04-2023,1. MD,1,MD,Højbjerg/Via Biler,Skovshoved,"Kim Astrup Sørensen, Selena Piek (EU)","Lasse Mølhede, Sara Lundgaard","47081, 250890","58031, 80319","21-18, 13-21, 21-17",home,Højbjerg/Via Biler,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443915,12 22-04-2023,2. MD,2,MD,Højbjerg/Via Biler,Skovshoved,"Anders Skaarup Rasmussen, Rikke Søby Hansen","Daniel Lundgaard, Mette Poulsen","29269, 66239","1311, 55556","19-21, 21-19, 17-21",away,Skovshoved,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443915,12 22-04-2023,1. DS,1,DS,Højbjerg/Via Biler,Skovshoved,Line Kjærsfeldt,Line Christophersen,61094,154,"21-16, 27-29, 10-21",away,Skovshoved,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443915,12 22-04-2023,2. DS,2,DS,Højbjerg/Via Biler,Skovshoved,Amalie Schulz Terp-Nielsen,Benedicte Sillassen,2532,240049,"19-21, 21-12, 20-22",away,Skovshoved,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443915,12 22-04-2023,1. HS,1,HS,Højbjerg/Via Biler,Skovshoved,Ygor Coelho (udl.),Rasmus Gemke,250876,77864,"12-21, 13-21",away,Skovshoved,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443915,12 22-04-2023,2. HS,2,HS,Højbjerg/Via Biler,Skovshoved,Karan Rajan Rajarajan,Mads Christophersen,272325,81169,"15-21, 16-21",away,Skovshoved,
2022,1,1,-3,14806,Badmintonligaen,Final 4,443915,12 22-04-2023,1. DD,1,DD,Højbjerg/Via Biler,Skovshoved,"Amalie Schulz Terp-Nielsen, Selena Piek (EU)","Sara Lundgaard, Mette Poulsen","2532, 250890","80319, 55556",,,,
