season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,match_id,round,discipline,discipline_no,discipline_code,home_team,away_team,home_players,away_players,home_player_ids,away_player_ids,set_scores,winner_side,winner_team,wo
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,1. MD,1,MD,Vendsyssel,Værløse,"Mathias Christiansen, Cheryl Seinen (EU)","Mathias Thyrri Jørgensen, Mai Surrow","59946, 69668","81255, 50755","11-21, 15-21",away,Værløse,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,2. MD,2,MD,Vendsyssel,Værløse,"Robin Tabeling (EU), Debora Jille (EU)","Andreas Søndergaard, Julie Finne-Ipsen","61161, 305462","84100, 66080","19-21, 21-14, 14-21",away,Værløse,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,1. DS,1,DS,Vendsyssel,Værløse,Kirsty Alison Gilmour (udl.),Julie Dawall Jakobsen,57455,83614,,,,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,2. DS,2,DS,Vendsyssel,Værløse,Josefine Redkjær Jensen,Sofie Holmboe Dahl,1916,76924,"21-19, 12-21, 20-22",away,Værløse,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,1. HS,1,HS,Vendsyssel,Værløse,Jan Ø. Jørgensen,Rasmus Messerschmidt,21735,48886,"17-21, 21-18, 12-21",away,Værløse,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,2. HS,2,HS,Vendsyssel,Værløse,Victor Svendsen,Ditlev Jæger Holm,69610,80361,"21-17, 21-11",home,Vendsyssel,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,1. DD,1,DD,Vendsyssel,Værløse,"Debora Jille (EU), Cheryl Seinen (EU)","Julie Finne-Ipsen, Mai Surrow","305462, 69668","66080, 50755","19-21, 12-21",away,Værløse,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,1. HD,1,HD,Vendsyssel,Værløse,"Mathias Christiansen, Robin Tabeling (EU)","Andreas Søndergaard, Daniel Lundgaard","59946, 61161","84100, 1311",,,,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406952,10 22-06-2021,2. HD,2,HD,Vendsyssel,Værløse,"Victor Svendsen, Zvonimir Durkinjak (EU)","Mathias Thyrri Jørgensen, Ditlev Jæger Holm","69610, 23630","81255, 80361",,,,
2020,1,1,-3,13241,Badmintonligaen,Final 4,406953,10 22-06-2021,1. MD,1,MD,Team Skælskør-Slagelse,Skovshoved,"Frederik Søgaard, Selena Piek (EU)","Carsten Mogensen, Sara Lundgaard","80745, 250890","13905, 80319","21-15, 18-21, 21-13",home,Team Skælskør-Slagelse,
