season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,group_hash_url
2022,1,1,-3,15794,DM HOLD 4 spillere - Singler,SEN B 4 Singler Pulje 1,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15794,1,1,,,-3,"
2022,1,1,-3,15836,DM HOLD 4 spillere - Singler,SEN B 4 Singler Pulje 2,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15836,1,1,,,-3,"
2022,1,1,-3,15837,DM HOLD 4 spillere - Singler,SEN B Finale slutspil (1. - 4. plads),"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15837,1,1,,,-3,"
2022,1,1,-3,15821,DM HOLD 4 spillere - Singler,SEN C (5. - 6. plads),"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15821,1,1,,,-3,"
2022,1,1,-3,15795,DM HOLD 4 spillere - Singler,SEN C 4 Singler Pulje 1,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15795,1,1,,,-3,"
2022,1,1,-3,15819,DM HOLD 4 spillere - Singler,SEN C 4 Singler Pulje 2,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15819,1,1,,,-3,"
2022,1,1,-3,15820,DM HOLD 4 spillere - Singler,SEN C Finale slutspil (1. - 4. plads),"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15820,1,1,,,-3,"
2022,1,1,-3,15817,DM HOLD 4 spillere - Doubler,SEN (MOT) Pulje B,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15817,1,1,,,-3,"
2022,1,1,-3,15818,DM HOLD 4 spillere - Doubler,SEN (MOT) Pulje C,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15818,1,1,,,-3,"
2022,1,1,-3,15816,DM HOLD 4 spillere - Doubler,SEN Pulje A,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15816,1,1,,,-3,"
2022,1,1,-3,15814,DM HOLD (MOT) 4+2,3. - 4. plads,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15814,1,1,,,-3,"
2022,1,1,-3,15815,DM HOLD (MOT) 4+2,5. - 6. plads,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15815,1,1,,,-3,"
2022,1,1,-3,15835,DM HOLD (MOT) 4+2,7. - 8. plads,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15835,1,1,,,-3,"
2022,1,1,-3,15813,DM HOLD (MOT) 4+2,Finale,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15813,1,1,,,-3,"
2022,1,1,-3,15811,DM HOLD (MOT) 4+2,Pulje 1,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15811,1,1,,,-3,"
2022,1,1,-3,15812,DM HOLD (MOT) 4+2,Pulje 2,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15812,1,1,,,-3,"
2022,1,1,-3,15810,DM HOLD (MOT) 2+2,Pulje 1,"https://badmintonplayer.dk/DBF/HoldTurnering/Stilling/#2,2022,15810,1,1,,,-3,"
