season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,match_id,round,round_no,round_date,time,home_team,away_team,organizer,venue,team_result,team_points,wo,livescore
2025,1,1,-3,17882,Badmintonligaen,Bronzekamp,503794,12 15-04-2026,12,15-04-2026,(15‑04‑2026),Taber af semifinale 1,Taber af semifinale 2,,,-,-,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484961,1 02-09-2025,1,02-09-2025,ti 02‑09‑2025 18:30,Gentofte,Greve,,GBK Hallen 1-4,7-2,10-2,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484962,1 02-09-2025,1,02-09-2025,ti 02‑09‑2025 18:30,Hvidovre,Team Skælskør-Slagelse,,HBC-Hallen,6-3,9-3,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484965,1 02-09-2025,1,02-09-2025,ti 02‑09‑2025 18:30,Skovshoved,Vendsyssel,,Krøyersvej,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487607,1 02-09-2025,1,02-09-2025,ti 02‑09‑2025 18:30,Højbjerg,Værløse,,NES Arena 4-7,7-2,10-2,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487608,1 02-09-2025,1,02-09-2025,ti 02‑09‑2025 18:30,Odense OBK,Solrød Strand,,OBK-­hallen,7-2,10-2,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484968,2 04-09-2025,2,04-09-2025,to 04‑09‑2025 19:00,Vendsyssel,Hvidovre,,Arena Nord,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484969,2 04-09-2025,2,04-09-2025,to 04‑09‑2025 18:30,Værløse,Gentofte,,Værløsehallerne,4-5,5-7,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484970,2 04-09-2025,2,04-09-2025,to 04‑09‑2025 19:00,Greve,Skovshoved,,Greve Idræts Center,2-7,2-10,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487609,2 04-09-2025,2,04-09-2025,to 04‑09‑2025 18:30,Solrød Strand,Højbjerg,,Solrød Idrætscenter Hal A,4-5,5-7,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487610,2 04-09-2025,2,04-09-2025,to 04‑09‑2025 18:30,Team Skælskør-Slagelse,Odense OBK,,Skælskør Badminton Center,7-2,10-2,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484973,3 30-09-2025,3,30-09-2025,ti 30‑09‑2025 18:30,Skovshoved,Team Skælskør-Slagelse,,Krøyersvej,7-2,10-2,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484974,3 30-09-2025,3,30-09-2025,ti 30‑09‑2025 19:00,Vendsyssel,Greve,,Arena Nord,6-3,9-3,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484975,3 30-09-2025,3,30-09-2025,ti 30‑09‑2025 18:30,Værløse,Solrød Strand,,Værløsehallerne,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487611,3 30-09-2025,3,30-09-2025,ti 30‑09‑2025 18:30,Gentofte,Odense OBK,,GBK Hallen 1-4,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487612,3 30-09-2025,3,30-09-2025,ti 30‑09‑2025 18:30,Højbjerg,Hvidovre,,NES Arena 4-7,6-3,9-3,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484976,4 04-11-2025,4,04-11-2025,ti 04‑11‑2025 18:30,Gentofte,Team Skælskør-Slagelse,,GBK Hallen 1-4,6-3,9-3,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484977,4 04-11-2025,4,04-11-2025,ti 04‑11‑2025 18:30,Hvidovre,Greve,,HBC-Hallen,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484979,4 04-11-2025,4,04-11-2025,ti 04‑11‑2025 18:30,Solrød Strand,Skovshoved,,Solrød Idrætscenter Hal A,1-8,1-11,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487613,4 04-11-2025,4,04-11-2025,ti 04‑11‑2025 18:30,Odense OBK,Værløse,,OBK-­hallen,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487614,4 04-11-2025,4,04-11-2025,ti 04‑11‑2025 19:00,Vendsyssel,Højbjerg,,Arena Nord,8-1,11-1,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484983,5 06-11-2025,5,06-11-2025,to 06‑11‑2025 18:30,Team Skælskør-Slagelse,Vendsyssel,,Skælskør Badminton Center,0-9,0-12,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484984,5 06-11-2025,5,06-11-2025,to 06‑11‑2025 18:30,Værløse,Hvidovre,,Værløsehallerne,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484985,5 06-11-2025,5,06-11-2025,to 06‑11‑2025 19:00,Greve,Solrød Strand,,Greve Idræts Center,4-5,5-7,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487615,5 06-11-2025,5,06-11-2025,to 06‑11‑2025 18:30,Højbjerg,Gentofte,,NES Arena 4-7,7-2,10-2,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487616,5 06-11-2025,5,06-11-2025,to 06‑11‑2025 18:30,Skovshoved,Odense OBK,,Krøyersvej,7-2,10-2,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484986,6 09-12-2025,6,09-12-2025,ti 09‑12‑2025 18:30,Gentofte,Skovshoved,,GBK Hallen 1-4,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484987,6 09-12-2025,6,09-12-2025,ti 09‑12‑2025 18:30,Hvidovre,Solrød Strand,,HBC-Hallen,6-3,9-3,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484989,6 09-12-2025,6,09-12-2025,ti 09‑12‑2025 18:30,Team Skælskør-Slagelse,Greve,,Skælskør Badminton Center,6-3,9-3,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484990,6 09-12-2025,6,09-12-2025,ti 09‑12‑2025 19:00,Vendsyssel,Værløse,,Arena Nord,9-0,12-0,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,487617,6 09-12-2025,6,09-12-2025,ti 09‑12‑2025 18:30,Højbjerg,Odense OBK,,NES Arena 4-7,6-3,9-3,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484992,7 12-12-2025,7,12-12-2025,fr 12‑12‑2025 18:30,Skovshoved,Hvidovre,,Krøyersvej,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484993,7 12-12-2025,7,12-12-2025,fr 12‑12‑2025 18:30,Solrød Strand,Gentofte,,Solrød Idrætscenter Hal A,5-4,7-5,,
2025,1,1,-3,17880,Badmintonligaen,Grundspil,484994,7 12-12-2025,7,12-12-2025,fr 12‑12‑2025 18:30,Værløse,Team Skælskør-Slagelse,,Værløsehallerne,6-3,9-3,,
